inn,year,code,value,source,fetched
0276053190,2024,prev1210,31,girbo,2026-09-14
0276053190,2024,prev1250,88,girbo,2026-09-14
0276053190,2024,prev1300,-41,girbo,2026-09-14
0276053190,2024,prev1370,-41,girbo,2026-09-14
0276053190,2024,prev1500,160,girbo,2026-09-14
0276053190,2024,prev1520,160,girbo,2026-09-14
0276053190,2024,prev1600,119,girbo,2026-09-14
0276053190,2024,prev1700,119,girbo,2026-09-14
0276053190,2024,prev6200,1988,girbo,2026-09-14
0276053190,2024,prev6215,1988,girbo,2026-09-14
0276053190,2024,prev6300,1900,girbo,2026-09-14
0276053190,2024,prev6320,1900,girbo,2026-09-14
0276053190,2024,prev6321,887,girbo,2026-09-14
0276053190,2024,prev6324,999,girbo,2026-09-14
0276053190,2024,prev6326,14,girbo,2026-09-14
0276053190,2024,prev6400,88,girbo,2026-09-14
0276053190,2025,1100,0,girbo,2026-09-14
0276053190,2025,1110,0,girbo,2026-09-14
0276053190,2025,1150,0,girbo,2026-09-14
0276053190,2025,1160,0,girbo,2026-09-14
0276053190,2025,1170,0,girbo,2026-09-14
0276053190,2025,1190,0,girbo,2026-09-14
0276053190,2025,1200,70,girbo,2026-09-14
0276053190,2025,1210,35,girbo,2026-09-14
0276053190,2025,1230,0,girbo,2026-09-14
0276053190,2025,1240,0,girbo,2026-09-14
0276053190,2025,1250,35,girbo,2026-09-14
0276053190,2025,1260,0,girbo,2026-09-14
0276053190,2025,1400,-197,girbo,2026-09-14
0276053190,2025,1410,0,girbo,2026-09-14
0276053190,2025,1450,-197,girbo,2026-09-14
0276053190,2025,1500,232,girbo,2026-09-14
0276053190,2025,1510,0,girbo,2026-09-14
0276053190,2025,1520,232,girbo,2026-09-14
0276053190,2025,1600,70,girbo,2026-09-14
0276053190,2025,1700,70,girbo,2026-09-14
0276053190,2025,2300,0,girbo,2026-09-14
0276053190,2025,2320,0,girbo,2026-09-14
0276053190,2025,2330,0,girbo,2026-09-14
0276053190,2025,2340,0,girbo,2026-09-14
0276053190,2025,2350,0,girbo,2026-09-14
0276053190,2025,2400,0,girbo,2026-09-14
0276053190,2025,2500,-221,girbo,2026-09-14
0276053190,2025,2510,0,girbo,2026-09-14
0276053190,2025,6100,34,girbo,2026-09-14
0276053190,2025,6200,2667,girbo,2026-09-14
0276053190,2025,6215,2667,girbo,2026-09-14
0276053190,2025,6300,2666,girbo,2026-09-14
0276053190,2025,6320,2666,girbo,2026-09-14
0276053190,2025,6321,978,girbo,2026-09-14
0276053190,2025,6324,1654,girbo,2026-09-14
0276053190,2025,6326,34,girbo,2026-09-14
0276053190,2025,6400,35,girbo,2026-09-14
0276053190,2025,prev1100,0,girbo,2026-09-14
0276053190,2025,prev1200,69,girbo,2026-09-14
0276053190,2025,prev1210,35,girbo,2026-09-14
0276053190,2025,prev1250,34,girbo,2026-09-14
0276053190,2025,prev1400,-107,girbo,2026-09-14
0276053190,2025,prev1450,-107,girbo,2026-09-14
0276053190,2025,prev1500,176,girbo,2026-09-14
0276053190,2025,prev1520,176,girbo,2026-09-14
0276053190,2025,prev1600,69,girbo,2026-09-14
0276053190,2025,prev1700,69,girbo,2026-09-14
0276053190,2025,prev2500,-234,girbo,2026-09-14
0276053190,2025,prev6100,88,girbo,2026-09-14
0276053190,2025,prev6200,2047,girbo,2026-09-14
0276053190,2025,prev6215,2047,girbo,2026-09-14
0276053190,2025,prev6300,2101,girbo,2026-09-14
0276053190,2025,prev6320,2101,girbo,2026-09-14
0276053190,2025,prev6321,746,girbo,2026-09-14
0276053190,2025,prev6324,1340,girbo,2026-09-14
0276053190,2025,prev6326,15,girbo,2026-09-14
0276053190,2025,prev6400,34,girbo,2026-09-14
1402047184,2022,1100,49048636,girbo,2026-09-14
1402047184,2022,1110,21324,girbo,2026-09-14
1402047184,2022,1150,2004073,girbo,2026-09-14
1402047184,2022,1160,760,girbo,2026-09-14
